iter	Passed	Remaining
767	5684	1717
768	5693	1710
769	5699	1702
770	5705	1694
771	5713	1687
772	5721	1680
773	5728	1672
774	5736	1665
775	5741	1657
776	5751	1650
777	5757	1642
778	5763	1634
779	5774	1628
780	5781	1621
781	5789	1614
782	5795	1606
783	5801	1598
784	5807	1590
785	5813	1582
786	5820	1575
787	5830	1568
788	5836	1560
789	5844	1553
790	5849	1545
791	5855	1537
792	5863	1530
793	5871	1523
794	5887	1518
795	5893	1510
796	5899	1502
797	5906	1495
798	5913	1487
799	5920	1480
800	5926	1472
801	5933	1464
802	5943	1458
803	5956	1452
804	5961	1444
805	5966	1436
806	5972	1428
807	5978	1420
808	5983	1412
809	5991	1405
810	5996	1397
811	6002	1389
812	6008	1381
813	6013	1374
814	6021	1366
815	6026	1359
816	6032	1351
817	6037	1343
818	6047	1336
819	6063	1330
820	6068	1323
821	6096	1320
822	6102	1312
823	6107	1304
824	6111	1296
825	6117	1288
826	6122	1280
827	6129	1273
828	6134	1265
829	6150	1259
830	6156	1251
831	6161	1244
832	6169	1236
833	6175	1229
834	6206	1226
835	6212	1218
836	6217	1210
837	6223	1203
838	6228	1195
839	6234	1187
840	6241	1179
841	6247	1172
842	6253	1164
843	6258	1156
844	6272	1150
845	6278	1142
846	6282	1134
847	6289	1127
848	6295	1119
849	6302	1112
850	6310	1104
851	6316	1097
852	6322	1089
853	6328	1081
854	6335	1074
855	6340	1066
856	6345	1058
857	6355	1051
858	6370	1045
859	6376	1037
860	6382	1030
861	6400	1024
862	6405	1016
863	6421	1010
864	6427	1003
865	6433	995
866	6439	987
867	6452	981
868	6457	973
869	6462	965
870	6470	958
871	6477	950
872	6482	943
873	6490	935
874	6495	927
875	6508	921
876	6513	913
877	6520	905
878	6525	898
879	6530	890
880	6535	882
881	6542	875
882	6548	867
883	6553	859
884	6559	852
885	6564	844
886	6569	836
887	6574	829
888	6580	821
889	6588	814
890	6596	807
891	6604	799
892	6614	792
893	6622	785
894	6632	778
895	6638	770
896	6644	762
897	6649	755
898	6654	747
899	6662	740
900	6667	732
901	6674	725
902	6681	717
903	6690	710
904	6697	703
905	6702	695
906	6709	687
907	6717	680
908	6722	673
909	6727	665
910	6734	657
911	6739	650
912	6748	643
913	6756	635
914	6761	628
915	6767	620
916	6773	613
917	6778	605
918	6783	597
919	6789	590
920	6796	583
921	6804	575
922	6810	568
923	6816	560
924	6824	553
925	6832	545
926	6837	538
927	6841	530
928	6846	523
929	6850	515
930	6855	508
931	6860	500
932	6865	493
933	6870	485
934	6875	477
935	6879	470
936	6884	462
937	6891	455
938	6897	448
939	6905	440
940	6911	433
941	6916	425
942	6922	418
943	6927	410
944	6932	403
945	6936	395
946	6941	388
947	6947	381
948	6952	373
949	6958	366
950	6964	358
951	6975	351
952	6987	344
953	6996	337
954	7023	330
955	7031	323
956	7034	316
957	7038	308
958	7053	301
959	7058	294
960	7061	286
961	7064	279
962	7067	271
963	7069	264
964	7072	256
